Type,Name,Price,Availability,Timings
Breakfast,Fresh Fruit Salad,7.1,Monday - Friday,8:00am - 3:00pm
Breakfast,Yoghurt Pot with Mixed Berries/Passionfruit/Mango/Granola,7.0,Monday - Friday,8:00am - 3:00pm
Breakfast,Bacon and Egg Roll,8.5,Monday - Friday,8:00am - 3:00pm
Breakfast,Double Egg and Cheese Roll,8.5,Monday - Friday,8:00am - 3:00pm
Breakfast,Mushroom Tomato and Hash Brown Wrap,8.5,Monday - Friday,8:00am - 3:00pm
Breakfast,Ham and Cheese Croissant,8.5,Monday - Friday,8:00am - 3:00pm
Breakfast,Cheese and Tomato Croissant,8.0,Monday - Friday,8:00am - 3:00pm
Breakfast,Plain Croissant,6.0,Monday - Friday,8:00am - 3:00pm
Breakfast,Hash Brown,2.0,Monday - Friday,8:00am - 3:00pm
Breakfast,ASSORTED SANDWICHEs,7.5,Monday - Friday,8:00am - 3:00pm
Breakfast,ASSORTED WRAPs,9.0,Monday - Friday,8:00am - 3:00pm
Lunch,SALAD OF THE DAY: VEG / MEAT OPTION AVAILABLE,11.0,Monday - Friday,8:00am - 3:00pm
Lunch,HOT DISHES AVAILABLE FROM 11:30 DAILY,12.0,Monday - Friday,11:30am - 3:00pm
Snacks,VEGETABLE SPRING ROLLS / SAMOSAS VEGETARIAN,4.0,Monday - Friday,8:00am - 3:00pm
Snacks,VEGETABLE SPRING ROLLS / SAMOSAS VEGETARIAN,6.0,Monday - Friday,8:00am - 3:00pm
