Type,Name,Price,Availability,Timings
Breakfast,Toast,6.5,Monday - Friday,8:00 AM - 3:00 PM
Breakfast,Eggs Your Way,10,Monday - Friday,8:00 AM - 3:00 PM
Breakfast,Breakfast Burger,11.5,Monday - Friday,8:00 AM - 3:00 PM
Breakfast,Bacon & Egg Roll,9,Monday - Friday,8:00 AM - 3:00 PM
Breakfast,Chicken Burger,13.5,Monday - Friday,8:00 AM - 3:00 PM
Breakfast,Laneway Big Breakfast,18,Monday - Friday,8:00 AM - 3:00 PM
Breakfast,Smashed Avo & Fetta,16,Monday - Friday,8:00 AM - 3:00 PM
Breakfast,Blueberry Bagel,13.5,Monday - Friday,8:00 AM - 3:00 PM
Side,Additional two eggs your way,4,Monday - Friday,8:00 AM - 3:00 PM
Side,Mushrooms / spinach,4,Monday - Friday,8:00 AM - 3:00 PM
Side,Beef sausage / bacon / Smashed avocado,4.5,Monday - Friday,8:00 AM - 3:00 PM
Side,Smoked salmon,5,Monday - Friday,8:00 AM - 3:00 PM
All Day,Persian Fetta W/ Roasted Asparagus On Toast,17,Monday - Friday,8:00 AM - 3:00 PM
All Day,Corn Chilli & Zucchini Fritters,16.5,Monday - Friday,8:00 AM - 3:00 PM
All Day,Eggs Benedict - Shaved Leg Ham,15,Monday - Friday,8:00 AM - 3:00 PM
All Day,Eggs Benedict - Wild Mushrooms,15,Monday - Friday,8:00 AM - 3:00 PM
All Day,Eggs Benedict - Smoked salmon,17,Monday - Friday,8:00 AM - 3:00 PM
All Day,Free Range Omelette W/ Garlic Mushroom & Stracciatella,16.5,Monday - Friday,8:00 AM - 3:00 PM
All Day,Green Bowl,18,Monday - Friday,8:00 AM - 3:00 PM
