Type,Name,Price,Availability,Timings
Taco,Beef Taco,9,Tuesday - Thursday,11:00 AM - 3:00 PM
Taco,Chicken Taco,9,Tuesday - Thursday,11:00 AM - 3:00 PM
Taco,Vegan Taco,9,Tuesday - Thursday,11:00 AM - 3:00 PM
Nachos,Beef Nachos,11,Tuesday - Thursday,11:00 AM - 3:00 PM
Nachos,Vegan Nachos,11,Tuesday - Thursday,11:00 AM - 3:00 PM
Quesadilla,Beef Quesadilla,12,Tuesday - Thursday,11:00 AM - 3:00 PM
Quesadilla,Chicken Quesadilla,12,Tuesday - Thursday,11:00 AM - 3:00 PM
Quesadilla,Vegan Quesadilla,12,Tuesday - Thursday,11:00 AM - 3:00 PM
Bowl,Beef Bowl,13,Tuesday - Thursday,11:00 AM - 3:00 PM
Bowl,Vegan Bowl,13,Tuesday - Thursday,11:00 AM - 3:00 PM
Side,Tex Mex Salad,13,Tuesday - Thursday,11:00 AM - 3:00 PM
Side,Chicken Guac,5,Tuesday - Thursday,11:00 AM - 3:00 PM
Side,Sour Cream/Shredded Cheese/Vegan Cheese,3,Tuesday - Thursday,11:00 AM - 3:00 PM
Side,Empanadas,8,Tuesday - Thursday,11:00 AM - 3:00 PM
Side,Chips & Guac,7.5,Tuesday - Thursday,11:00 AM - 3:00 PM
Side,Fried Churros,7,Tuesday - Thursday,11:00 AM - 3:00 PM
