Location,Name,URL,Opening Days,Timings, Menu
Holme,Courtyard,https://usu.edu.au/food-drink/courtyard/,Monday - Friday, 8:00am - 5:30pm, Yes
Holme,Footbridge Bakery & Store,https://usu.edu.au/food-drink/footbridge/,Monday - Friday, 7:00am - 5:00pm, No  
Manning,Sunrise Asian Kitchen,https://usu.edu.au/food-drink/sunrise-asian-kitchen/,Monday - Friday, 10:00am - 5:30pm, No
Manning,Manning Bar,https://usu.edu.au/food-drink/manning-bar/,Monday - Sunday, Closed, No 
Manning,Manning Cantina,https://usu.edu.au/food-drink/manning-cantina/,Tuesday - Thursday, 11:00am - 3:00pm, Yes
Manning,Tea and …,https://usu.edu.au/food-drink/tea-and/,Monday - Friday, 10:00am - 6:00pm, No
Manning,Oakberry,https://usu.edu.au/food-drink/oakberry/,Monday - Friday, 8:30am - 5:30pm, No
Manning,Sushi Izu,https://usu.edu.au/food-drink/sushi-izu/,Monday - Friday, 10:00am - 8:00pm, No
Manning,Manning Milkbar,https://usu.edu.au/food-drink/manning-milkbar/,Monday - Friday, 8:00am - 3:00pm, No
Wentworth,Hermann’s Bar,https://usu.edu.au/food-drink/hermanns-bar/,Monday - Sunday, Closed, No
Wentworth,Laneway,https://usu.edu.au/food-drink/laneway/,Monday - Friday, 8:00am - 3:00pm, Yes
Wentworth,FoodHub,https://usu.edu.au/food-drink/foodhub/,Monday - Friday, 11:00am - 2:00pm, No
Wentworth,Sushi Time,https://usu.edu.au/food-drink/sushi-time/,Monday - Friday, 8:00am - 6:00pm, No
Wentworth,Mex & Co Express Usyd,https://usu.edu.au/food-drink/mex-co/,Monday - Friday, 10:00am - 3:00pm, No
Wentworth,Uni Brothers Kebabs,https://usu.edu.au/food-drink/uni-brothers-kebab-pizza/,Monday - Friday, 8:00am - 7:00pm, No
Wentworth,Little Asia,https://usu.edu.au/food-drink/little-asia/,Monday - Friday, 10:00am - 3:00pm, No
Rest of campus,ABS Espresso,https://usu.edu.au/food-drink/abs-espresso/,Monday - Sunday, 10:00am - 5:00pm, No
Rest of campus,USUeats Food Caravan on Eastern Ave,https://usu.edu.au/food-drink/usueats-food-caravan/,Monday - Sunday, Closed, Yes
Rest of campus,Love BUDS Grill,https://usu.edu.au/food-drink/love-buds-grill/,Monday - Sunday, Closed, No
Rest of campus,Abercrombie,https://usu.edu.au/food-drink/abercrombie/,Monday - Friday, 8:00am - 3:00pm, Yes
Rest of campus,Fisher,https://usu.edu.au/food-drink/fisher/,Monday - Friday, 7:30am - 5:00pm, No
Rest of campus,USUeats Mobile Catering & Events,https://usu.edu.au/food-drink/mobile-catering/,Monday - Sunday, 10:00am - 5:00pm, No
Rest of campus,Mamba Juice,https://usu.edu.au/food-drink/mamba-juice/,Monday - Friday, 9:00am - 6:00pm, No
Rest of campus,Subway,https://usu.edu.au/food-drink/subway/,Monday - Friday, 9:00am - 4:30pm, No
Rest of campus,Parma Cucina & Bar,https://usu.edu.au/food-drink/parma-cucina/,Monday - Friday, 6:00am - 4:00pm, No
Rest of campus,Wilkinson,https://usu.edu.au/food-drink/wilkinson/,Monday - Sunday, Closed, No
Rest of campus,Carslaw,https://usu.edu.au/food-drink/carslaw/,Monday - Friday, 8:00am - 3:00pm, Yes
